# id,thai,kan
1,นี่,弘
2,กํ,蓮
3,ลั,喘
4,บ่,嬌
5,ยู่,樹
6,ม่,県
7,มี,粥
8,สี,匿
9,ศั,燦
10,ท์,村
11,หู,里
12,ข้,衰
13,ฉั,蛙
14,พี,且
15,งี,扮
16,ท่,瓶
17,สี่,栽
18,นั้,厭
19,ร้,稿
20,อ้,胄
21,นี้,著
22,นั่,殖
23,งื่,籠
24,ดู,媒
25,ค่,腎
26,ก่,郵
27,ที่,舎
28,ผื,筐
29,ริ,因
30,ด้,果
31,ยิ,律
32,ด็,透
33,นึ่,明
34,ยื,背
35,น้,徳
36,รี,再
37,ชื่,生
38,สั,分
39,รู,淳
40,ถึ,哉
41,ม้,須
42,ว่,離
43,ชี,喪
44,วิ,失
45,ต่,不
46,ก็,可
47,ร่,逆
48,ตึ,境
49,ดี,界
50,ปิ,面
51,พั,上
52,หั,追
53,กั,加
54,นิ้,時
55,ฝี,間
56,ล้,跳
57,คุ,躍
58,ยั,空
59,อี,理
60,ฝั่,彷
61,ผู้,徨
62,ว้,蝶
63,พื้,翼
64,ทั้,夢
65,ถู,幻
66,ดั,形
67,ฟั,而
68,ล่,虚
69,น่,像
70,ปั,歪
71,ห้,曲
72,ติ,自
73,รั,己
74,มื,相
75,มั,似
76,อั,無
77,กิ,限
78,พู,連
79,อื,鎖
80,ร์,携
81,นํ,帯
82,ทํ,電
83,ทุ,話
84,ย่,呼
85,ค์,出
86,ลื่,仮
87,งั้,設
88,พื่,定
89,ณ์,確
90,ช็,認
91,ที,岐
92,กุ,先
93,ป็,指
94,ลื,言
95,ส์,右
96,จิ,耳
97,สิ,当
98,ก้,通
99,ดิ,口
100,ซึ่,聞
101,นี,完
102,คื,全
103,ตู,音
104,ลี่,夏
105,ลิ,強
106,ต์,烈
107,บั,曰
108,ขึ้,射
109,ชั้,受
110,จ้,俺
111,จ็,顎
112,คิ,汗
113,ต้,一
114,ยุ,滴
115,กี้,落
116,ชิ,染
117,อิ,作
118,ยู,目
119,ทั,前
120,นื่,少
121,นิ,女
122,ส่,首
123,ข่,傾
124,สู,見
125,คิ้,中
126,ถ้,学
127,สุ,残
128,ซั,顔
129,ซ้,今
130,ตํ,敵
131,จั,地
132,ตั้,潜
133,ปี,入
134,จึ,緊
135,บ้,張
136,จํ,感
137,วั,微
138,สํ,塵
139,คั,手
140,บื้,押
141,ป้,向
142,รื่,直
143,ม์,人
144,ขี,差
145,ช่,添
146,รื,黙
147,รํ,誰
148,อ๋,改
149,คี,切
150,นั,会
151,ฟื่,気
152,ลึ,利
153,ฮ่,倫
154,ท้,太
155,ซํ้,郎
156,ง่,問
157,ลี,題
158,ตั,場
159,ลุ,変
160,พ้,報
161,หุ,告
162,ฐ์,合
163,วี,的
164,ธิ,判
165,มู,断
166,ตุ,雑
167,ฝ่,談
168,อุ,危
169,ลํ้,険
170,คํ,鉢
171,มุ,抜
172,พิ,駆
173,ฆ่,考
174,ล็,機
175,ฟ้,関
176,ฝุ่,動
177,ผ่,開
178,จู,驚
179,รึ,声
180,ผิ,身
181,ห็,深
182,ดํ,息
183,ญ่,小
184,ต็,振
185,บิ,運
186,ถุ,命
187,รุ,石
188,บุ,扉
189,ญิ,選
190,ร็,択
191,ห่,別
192,ชั,葉
193,ซ่,最
194,ทื,後
195,ญี่,刻
196,ปุ่,懐
197,สึ,神
198,ย็,意
199,หื,志
200,อู,同
201,มิ,味
202,ซี,表
203,ขั,存
204,ฮิ,在
205,ตี,知
206,บู,者
207,รั้,世
208,ลู,数
209,งิ,早
210,อ๊,速
211,ซู,足
212,ธ่,踏
213,หึ,正
214,ป๊,突
215,นึ,愚
216,บึ้,冒
217,ขุ่,使
218,ถื,階
219,กี่,段
220,ฎี,来
221,สื่,力
222,งํ,尽
223,ห์,椎
224,ศึ,名
225,ธ์,様
226,พ์,子
227,ดื้,膝
228,ดึ,置
229,ถ่,額
230,ธุ,滲
231,ดุ,拭
232,ฉี,嬉
233,ตื่,笑
234,อํ,実
235,หิ,物
236,อึ,立
237,ธี,込
238,ช้,彼
239,ก์,幼
240,ภั,年
241,ฮ้,齢
242,กื,下
243,ยํ้,歳
244,ซื่,高
245,ทิ้,妹
246,ล์,近
247,นิ่,家
248,ถี่,所
249,อ่,昔
